Account,total_pnl,avg_daily_pnl,pnl_std,total_trades,trading_days,avg_win_rate,avg_size_usd,avg_long_ratio,freq_segment,size_segment,winner_segment,sharpe,consistency,fear_pnl,fear_trades,fear_win_rate,fear_long_ratio,fear_size,greed_pnl,greed_trades,greed_win_rate,greed_long_ratio,greed_size,pnl_greed_lift,direction_shift,wr_greed_lift,cluster,pca1,pca2,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,66676.242499125,150401.79734551374,3818,24,0.3523328880919867,33569.102223713766,0.0136571315057608,Frequent,Large Size,Others,0.4433207825698461,Moderate,176877.53842228572,268.2857142857143,0.5319616474423585,0.046824450876894255,18095.254182197787,19703.077856916665,126.58333333333333,0.17493627242525708,0.0,33402.2925925064,-157174.46056536905,0.046824450876894255,-0.3570253750171014,0,-6.073887591402566,1.0602482965671884,Fear Dominator
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,920.871548346154,3603.042291024876,7280,52,0.397133767539827,4359.8309302466505,0.4163531224019476,Frequent,Small Size,Others,0.2555816651499693,Moderate,-294.6944926,139.6,0.37770701737975243,0.40130249410458524,8063.947871364714,2433.788536703704,139.55555555555554,0.43144716393004356,0.4240264555452157,2052.4703207191205,2728.483029303704,-0.022723961440630436,0.053740146550291135,2,0.7031906347047217,-0.16761751146311818,Disciplined Grinder
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-5869.682609833333,33420.410013838264,3809,12,0.3799521001942577,11057.118418553686,0.007737348389795,Frequent,Large Size,Others,-0.1756316755959223,Inconsistent,9365.759080400001,533.0,0.3451686225557707,0.01856963613550814,8350.89435951797,-19645.3292318,109.0,0.5667164179104478,0.0,15349.971653091687,-29011.0883122,0.01856963613550814,0.2215477953546771,1,-0.5665836455062091,-2.2585229063442593,High-Stakes Speculator
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,817.6840404567902,2993.2847018942703,13311,162,0.4525088144750888,484.8442941619222,0.3453753429981103,Frequent,Small Size,Others,0.2731728258053949,Moderate,-226.73124861111114,36.53703703703704,0.41404326320334917,0.44877586354236554,594.1705364920418,1677.13918813253,125.91566265060241,0.4667673326127872,0.2781473257292092,372.97110513470636,1903.8704367436412,0.17062853781315634,0.052724069409438024,2,0.5422451384273862,0.20268386461373442,Disciplined Grinder
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2444.3189129565217,4867.743468797182,3239,69,0.498708261557744,2553.7570373757217,0.3625934817076527,Infrequent,Small Size,Others,0.5021462056545083,Consistent,1026.2959039333332,32.86666666666667,0.607687528199556,0.3132483405551047,1216.5910758447667,2412.407029543478,37.630434782608695,0.4517687789875288,0.3844486297881095,2900.116999234961,1386.1111256101449,-0.07120028923300481,-0.15591874921202714,2,0.016940706713535002,0.14740541381562663,Disciplined Grinder
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-725.6651159534885,10110.280939662283,815,43,0.2662149612452762,1613.2556722621034,0.1970343394761999,Infrequent,Small Size,Others,-0.0717749704765035,Inconsistent,-3828.9923112666665,34.6,0.21858301100324723,0.0691358024691358,925.6105919690668,1248.1905357727273,11.954545454545455,0.23493173493173491,0.33797452547452544,2336.474223023742,5077.182847039394,-0.26883872300538963,0.016348723928487685,1,0.8913451650966214,-2.521237672355009,High-Stakes Speculator
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336,314.2808551304348,14586.482779999604,3589,46,0.3646821647848823,28188.549085190585,0.2590931227057335,Infrequent,Large Size,Others,0.0215460340830993,Inconsistent,-1194.137430222222,174.38888888888889,0.38397673306964275,0.11752307570267176,54195.74994711874,1136.2793236363636,8.090909090909092,0.32832080200501257,0.3838004101161996,8815.808923869989,2330.4167538585857,-0.26627733441352786,-0.05565593106463018,1,-0.7428223608569124,-1.7215377765573618,High-Stakes Speculator
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,1910.580258678572,5774.468515461302,332,28,0.4568993506493506,9812.51560528366,0.4640190166975881,Infrequent,Large Size,Others,0.3308668587529066,Moderate,623.8732389999999,14.0,0.5142857142857143,0.45510204081632655,12770.106700401799,2163.682709157895,12.210526315789474,0.4312200956937799,0.5161483253588517,6401.279476059467,1539.8094701578948,-0.06104628454252514,-0.08306561859193445,2,0.08824113209243838,-0.1508771272485315,Disciplined Grinder
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,9975.2796366,20797.39604487325,383,20,0.4299590163934426,8334.762260556681,0.033103448275862,Infrequent,Large Size,Others,0.4796407980632036,Consistent,15587.051519571429,22.714285714285715,0.5784543325526931,0.08029556650246306,7446.895638345826,1610.256859,17.6,0.355,0.01,10030.576773665223,-13976.794660571428,0.07029556650246306,-0.2234543325526931,2,-1.5287413234046763,-0.4147563306346813,Disciplined Grinder
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,14876.49544075,32725.08326015729,1237,28,0.2026689708141321,2525.945975144083,0.1901881720430107,Infrequent,Small Size,Others,0.4545899951570679,Consistent,467.92100849999997,26.333333333333332,0.021505376344086016,0.14516129032258066,1067.2211674347373,31996.858228090907,71.54545454545455,0.36363636363636365,0.2727272727272727,4223.164184391986,31528.937219590905,-0.12756598240469205,0.34213098729227764,3,1.7896124705923666,0.17848929763187438,Greed Momentum Rider
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,717.6646955625,2484.2443189649503,8519,144,0.3639104417771443,516.6442989710463,0.2522484965427443,Frequent,Small Size,Others,0.2888865197692081,Moderate,-96.3395380851064,27.97872340425532,0.32021194026991007,0.33982327107594074,539.15079942642,1462.5694755352113,92.22535211267606,0.3594278831604847,0.20480682761456856,521.0749667573352,1558.9090136203176,0.13501644346137218,0.03921594289057462,2,0.579015118798941,-0.2958004857022748,Disciplined Grinder
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,11685.293976603449,25344.268484609507,4356,58,0.426408492962711,16024.724760769132,0.419139819953064,Frequent,Large Size,Others,0.4610625863476378,Consistent,14483.691323250001,74.4375,0.3681244142970159,0.4678101472051277,18477.051648135584,6875.813962823529,76.58823529411765,0.4842830075792444,0.3466128462077959,16451.525449296605,-7607.877360426472,0.12119730099733178,0.1161585932822285,2,-0.482614873147616,1.18068902317147,Disciplined Grinder
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,962.5416502056074,7430.255413150263,7584,321,0.30121366471109,16038.456425115372,0.5071120494902595,Frequent,Large Size,Others,0.1295435481937735,Inconsistent,746.2214667837837,20.635135135135137,0.31441228144059413,0.579548995269447,17231.51015053501,1062.4548875153062,24.387755102040817,0.27705779567073324,0.49903140129650086,15554.345200651094,316.2334207315224,0.08051759397294617,-0.03735448576986089,1,0.15667624106535558,-0.27772356700445,High-Stakes Speculator
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,21549.296287589743,42171.74469920306,12236,39,0.3254950998749796,27603.84521556422,0.563973315242438,Frequent,Large Size,Others,0.510988967643932,Consistent,13456.563464545454,287.59090909090907,0.3006297669400342,0.543224765389286,29994.57678567569,16304.766494599997,339.2,0.2085151532726711,0.7112711441020376,25470.6844235503,2848.203030054543,-0.16804637871275163,-0.0921146136673631,2,-1.0906993223922052,1.7645688890834714,Disciplined Grinder
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,2313.4301440851063,7470.04650016332,975,47,0.3411133250429654,867.1703611532234,0.3658770597634395,Infrequent,Small Size,Others,0.3096942092708816,Moderate,185.3462576818182,22.818181818181817,0.25908120883998587,0.33215149636330754,996.8322081007453,5169.7739090000005,20.6,0.4610714285714286,0.4,760.5878836520691,4984.427651318182,-0.06784850363669248,0.2019902197314427,3,1.2902868674445018,-0.277119959209272,Greed Momentum Rider
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,22597.66136394737,80215.01097553849,1590,19,0.2033512037338335,9367.295108536868,0.2002291707888668,Infrequent,Large Size,Others,0.2817136230379402,Moderate,-2203.613841909091,74.54545454545455,0.14982763715158082,0.2124807615204542,8714.69367483177,64799.331168,98.71428571428571,0.3165098374679213,0.06672369546621043,11539.31490865286,67002.94500990909,0.14575706605424377,0.16668220031634046,3,1.029698177997586,0.16677291496505975,Greed Momentum Rider
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,5546.761692753847,23406.44232359817,1424,65,0.2135571997590169,4688.041802175383,0.1708322276664635,Infrequent,Large Size,Others,0.2369758554533259,Inconsistent,17170.7453105,32.6,0.5023725875284935,0.24877616848743528,2924.0389003917285,618.6086368000001,20.428571428571427,0.10953617810760667,0.05714285714285714,6010.180774110938,-16552.1366737,0.19163331134457814,-0.39283640942088677,1,-1.0657447672257472,-1.2009082540497293,High-Stakes Speculator
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,2596.543881582192,4762.374293945578,9893,146,0.7105283610078542,3354.2092903010684,0.0907435752597254,Frequent,Small Size,Consistent Winner,0.5452204554527856,Consistent,2420.552055419355,63.87096774193548,0.775013103399139,0.05748151533391969,3671.0422519957615,3333.3070593913044,70.09782608695652,0.7207580890741297,0.08442169785775343,3542.9840711157544,912.7550039719495,-0.02694018252383374,-0.05425501432500923,2,-0.4401494108092172,0.11826102720692437,Disciplined Grinder
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,573.0939633461538,873.4108109517282,1559,26,0.4359057464144235,6760.1144210194525,0.4208087596016288,Infrequent,Large Size,Others,0.6561562510555775,Consistent,1037.0534930000001,195.57142857142858,0.5549187693309378,0.1055831344733659,4022.751525060826,535.7416382666667,5.733333333333333,0.43618233618233615,0.5638176638176638,6162.454607670107,-501.31185473333346,-0.458234529344298,-0.1187364331486016,2,0.2641068790669142,0.2408648628445877,Disciplined Grinder
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-1821.9687476195647,38190.08942383133,4601,92,0.3202817064422026,2782.687344213111,0.0993190223734547,Frequent,Small Size,Others,-0.0477078942497205,Inconsistent,3565.3527389130436,41.391304347826086,0.4004849045310883,0.13282366333068266,3509.8171766238065,-15169.5124606,70.04,0.2652241400667188,0.08,1565.2820574764824,-18734.865199513046,0.052823663330682655,-0.13526076446436952,1,-0.49763186448331714,-2.242822000913891,High-Stakes Speculator
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1213.215887148148,5511.299034566663,1911,54,0.1888747291211057,5475.174210575846,0.7392501213620407,Infrequent,Large Size,Others,0.2201324732224985,Inconsistent,-570.8851285,13.0,0.2418478260869565,0.6149665551839465,3606.2727725150753,1842.6009347096774,12.161290322580646,0.12338709677419354,0.8217741935483871,5290.392059222604,2413.4860632096775,-0.2068076383644406,-0.11846072931276297,3,1.1859729936771013,-0.3467187901932538,Greed Momentum Rider
