sentiment_binary,observations,median_pnl,mean_pnl,pnl_std,mean_win_rate,mean_trade_count,mean_size_usd,mean_long_ratio,mean_volume
Fear,790,122.74,5185.15,31224.15,0.36,105.36,8529.86,0.36,756720.32
Greed,1174,265.25,4144.21,29252.04,0.36,76.91,5954.63,0.32,351829.35
